SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
F.[Na].[MgH2].O=[Si]=O,129.401,-1.7629,23.928,6,2,0,6,0,29,0,0,0,0,34.14,74.8141831876374,-6.66666663888889e-09,34.5293250129808
O=[I](=O)c1ccccc1,236.008,2.0536,40.532,9,2,0,3,1,48,1,0,0,1,34.14,60.042740758079,3.12647268187731,243.020187289698
CCO[P](=S)(OCC)SC[S](=O)CC,276.385,2.7432,68.6784,14,5,0,7,8,86,0,0,0,0,35.53,97.6952008703683,4.08335042726609,212.225559428699
Cc1ccc(O)cc1C,122.167,2.00904,37.5808,9,1,1,1,0,48,1,0,0,1,20.23,54.9555211004862,3.17167803044092,215.807662054337
[Na+].CC1=NN(C(=O)C1N=Nc2cccc(c2)[S](=O)(=O)NCCc3ccccc3)c4cc(Cl)c(cc4Cl)[S]([O-])(=O)=O,632.483,1.2975,145.1007,40,9,1,16,9,204,3,0,1,4,160.76,262.922211347846,4.4099890789783e-06,1703.83917969988
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCNCC1,267.372,2.9221,81.4765,20,2,2,2,3,104,2,1,1,3,32.26,120.016414794215,2.06993014358858,492.359384875143
CCCCC1(CC=C)C(=O)NC(=O)NC1=O,224.26,1.1051,58.4534,16,3,2,5,5,88,0,1,1,1,75.27,94.2775286534295,2.95773472169211,316.121376570484
Clc1ccc(NC(=O)CBr)c(c1)C(=O)c2ccccc2Cl,387.06,4.5578,88.7602,21,2,1,6,4,108,2,0,0,2,46.17,139.930310111851,2.46830465930561,703.823014851447
CC(C)CC(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(=O)O,317.389,1.6532,88.9996,23,3,4,6,7,124,2,0,0,2,108.21,134.61373793472,2.02913697043007,693.203349984696
[H+].[Cl-].CNC,81.546,-3.0479,16.0957,4,1,1,2,0,28,0,0,0,0,12.03,34.2919469478791,-1.999999975e-08,9.60964047443681
[O--].[O--].[O--].[Y+3].[Y+3],225.809,-0.3614,2.0595,5,0,0,5,0,24,0,0,0,0,85.5,80.578062803838,0,4.85475297227334
CCCCCCC(O)CCCCCCCCCCC(O)=O,300.483,5.3033,88.5716000000001,21,2,2,3,16,126,0,0,0,0,57.53,130.693256577008,3.11917698745834,228.503328384844
CNC(=O)N(C)c1sc(nn1)C(C)(C)C,228.321,1.6112,61.4677,15,4,1,6,1,84,1,0,0,1,58.12,93.5053286748376,2.89463159051153,355.239471952935
CCOCN(C(=O)CCl)c1c(C)cccc1CC,269.772,3.12322,75.256,18,2,0,4,6,100,1,0,0,1,29.54,113.689107261306,3.14392934049942,406.780506873324
CN(C)C1=NC2=C(C=NC=N2)N=C1,175.195,0.4858,49.455,13,5,0,5,1,66,2,0,0,2,54.8,75.4813774740148,2.61987386972831,425.558829557009
CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl,241.678,1.48538,57.9337,16,4,1,6,1,86,0,2,2,2,74.48,98.3822041571877,2.10036998589398,376.750656648483
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,414.63,5.50880000000001,117.9988,30,3,1,3,0,168,0,5,6,6,38.69,182.524480259992,1.33012758852775,746.390210295651
CC1=CC=C(OC2=CC=C(C)C=C2)C=C1,198.265,4.09574,62.432,15,1,0,1,2,76,2,0,0,2,9.23,90.3319267838611,2.1467113756182,382.400809080489
NC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,255.277,1.62,73.7675,19,3,3,5,3,96,2,0,0,2,98.21,109.771069332075,2.10094264836283,603.593132796533
CCC(C)N(C(C)CC)C(=O)SCc1ccccc1,279.449,4.9388,84.4780000000001,19,2,0,3,6,106,1,0,0,1,20.31,121.125290059075,2.61816687690371,369.595139926214
FC(F)(F)c1nc(Cl)sc1C(=O)OCc2ccccc2,321.707,4.1723,67.6875,20,4,0,8,3,106,2,0,0,2,39.19,120.51827468532,2.13797556331279,612.910150239282
Nc1cc(cc(c1O)[S](O)(=O)=O)[N+]([O-])=O,234.189,0.1293,48.9882,15,6,3,9,2,82,1,0,0,1,143.76,83.8471393012461,3.59475398863348,522.668811361313
CCCCCC(C(O)=O)C(O)=O,174.196,1.3521,42.9036,12,2,2,4,6,70,0,0,0,0,74.6,71.2053575330854,3.80489970473339,150.44079551951
[Na+].[O-]C(=O)C=C,94.045,-4.0737,15.204,6,2,0,3,1,28,0,0,0,0,40.13,58.1486876993902,0,59.8135375281251
NCCCCCCN,116.208,0.4642,36.5768,8,2,2,2,5,50,0,0,0,0,52.04,51.243742993838,2.53006045688352,31.5097750043269
I\C=C/I,279.846,2.3276,37.18,4,0,0,2,0,24,0,0,0,0,0,52.9382663521292,2.54919333848297,19.2192809488736
CCCCCCCCCC(C)(C)SSC1=NNC(=S)S1,350.644,6.86029000000001,97.4357,20,5,1,6,11,116,1,0,0,1,28.68,139.86378367725,2.09591734052199,411.30644429985
CCCN(CCC)C(=O)SCC,189.324,2.9815,55.683,12,2,0,3,5,72,0,0,0,0,20.31,79.7032537386148,3.81079475517114,121.696942863929
OC(=O)C(=O)c1ccc2OCOc2c1,194.142,0.6826,44.5313,14,4,1,5,2,72,1,0,1,2,72.83,78.8647667204549,2.37729729537698,409.663382713911
NNC(=O)C1=CC=C(C(=O)NN)C=C1,194.194,-1.1064,49.7492,14,4,4,6,2,74,1,0,0,1,110.24,80.2041093500892,2.88648212837778,311.863841338041
BrCCCBr,201.889,2.1663,32.205,5,0,0,2,2,32,0,0,0,0,0,49.2042304679055,2.19060968716425,12.3645279766003
[OH-].[OH-].[Cd++],146.426,-0.3561,3.8716,3,2,0,3,0,16,0,0,0,0,60,38.6125361902941,0,2.75488750216347
S=C1NC=NC2=C1N=C[NH]2,152.182,1.01549,39.0734,10,3,2,5,0,50,2,0,0,2,57.36,61.3399522622909,3.09291205002007,400.940197391207
BrC(Br)(Br)Br,331.627,3.1773,38.439,5,0,0,4,0,32,0,0,0,0,0,64.209441450395,3.02371578407382,19.1194154787637
COCCCl,94.541,0.8716,22.596,5,1,0,2,2,32,0,0,0,0,9.23,36.8859467130113,2.19060968716425,14.3645279766003
COc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(Cl)ccc4Cl)\C2=O,466.324,5.423,127.6714,32,5,2,8,5,160,3,0,1,4,79.79,194.04811478896,1.69299044596932,1284.98599965782
NS(=O)(=O)C1=NC2=C(C=C(O)C=C2)S1,230.27,0.6493,52.658,14,5,2,7,1,74,2,0,0,2,93.28,83.867979244214,2.74943711313564,588.000756511676
FCC(F)(F)F,102.03,1.5182,12.03,6,0,0,4,0,38,0,0,0,0,0,31.7663347539311,3.16848987267057,35.3029689088065
O=C(COC(=O)c1ccccc1)N2CCCCC2,247.294,1.8559,67.1555,18,3,0,4,3,96,1,1,1,2,46.61,106.541531980938,1.8036784842806,410.307097536567
CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,286.459,5.51030000000001,93.2118,21,1,1,1,5,116,0,0,1,1,20.23,130.013538639111,2.775853160028,495.931456038305
CC(C)Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,292.356,3.0122,75.7646,20,4,1,5,4,106,2,0,0,2,63.6,118.11650103224,2.32176117243124,670.818382245539
OC(=O)C1=C[NH++]([O-])[CH-]C=C1,140.118,-0.93081,33.4885,10,2,1,4,1,53,0,0,1,1,67.76,57.642786156032,2.75895997813581,207.038468421006
CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,270.225,4.2774,69.754,15,2,0,5,4,88,0,0,0,0,20.31,105.98512527459,4.27920995877855,233.57688747399
CC1=C(N2C(SC1)C(N)C2=O)C(O)=O,214.246,-0.4126,51.4032,14,4,2,6,1,76,0,1,2,2,83.63,84.932692834228,2.36677363342657,352.495554611666
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)Cc4c(O)c5OCOc5cc24,400.383,2.3209,98.9266,29,8,2,8,3,152,2,1,3,5,103.68,166.073198646513,1.75125941422472,989.221178308353
CC(C)c1ccccc1C,134.222,3.11842,45.268,10,0,0,0,1,54,1,0,0,1,0,62.8911715770834,3.03132789858197,211.03322454352
C[C@H]1CC(=O)C=C2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,302.458,4.1252,87.2638000000001,22,2,1,2,0,122,0,3,4,4,37.3,133.915979407304,1.72002017768612,535.825333781505
CN1N=C(SC1=N[S](=O)(=O)CC2=CC=CC=C2)[S](N)(=O)=O,348.431,-0.4403,77.087,21,7,1,11,4,114,2,0,0,2,124.48,125.233230809362,2.41404208801564,910.712456798816
CCOC(=O)CC(C)CC(C)(C)C,186.295,3.0119,54.486,13,2,0,2,4,78,0,0,0,0,26.3,81.6637395013463,3.74027541995566,155.963439037353
C[C@H](N)[C@@H](O)c1ccccc1,151.209,1.0672,45.0512,11,2,2,2,2,60,1,0,0,1,46.25,66.6603539118955,2.76791778130744,208.062534837713
Clc1cccc(n1)C(Cl)(Cl)Cl,230.909,3.5617,48.484,11,1,0,5,0,60,1,0,0,1,12.89,84.2290581223668,3.05990169221798,255.004350228366
CCCCC(CC)COC(=O)CC(CC(=O)OCC(CC)CCCC)(OC(C)=O)C(=O)OCC(CC)CCCC,570.808,7.34730000000001,156.526,40,8,0,8,24,234,0,0,0,0,105.2,243.152725892327,5.81843327399294,685.703995268517
COC(=O)CC#N,99.089,0.0730799999999999,22.246,7,3,0,3,1,38,0,0,0,0,50.09,41.5017243820387,3.22938416136515,102.747647267689
OCC(CC)CC,102.177,1.4149,31.1578,7,1,1,1,3,44,0,0,0,0,20.23,45.3581953520086,2.99230288319409,25.6514844544032
OC(=O)CCCCCCCCCCCC(O)=O,244.331,3.4467,66.0586,17,2,2,4,12,100,0,0,0,0,74.6,103.030068105068,2.98477057436718,191.465001944044
CC(C)c1cccc(C)c1,134.222,3.11842,45.268,10,0,0,0,1,54,1,0,0,1,0,62.8911715770834,2.95506374864802,211.03322454352
[H+].[Cl-].NNC(=O)C(N)CO,155.585,-5.5876,28.5033,9,4,4,6,2,56,0,0,0,0,101.37,60.2625623287759,-2.44999981975001e-07,93.8170015545672
Oc1ccc2N=C3C=CC(=O)C=C3Oc2c1,213.192,1.9984,58.5658,16,4,1,4,0,78,1,0,2,3,63.33,90.1294073946271,2.45679388372796,702.198677017509
CCN(C)N=NC1=CC=C(C(=O)O)C=C1,207.233,2.3352,56.2213,15,3,1,5,4,80,1,0,0,1,65.26,88.0236749642506,2.72287926964026,359.435179678143
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,330.171,2.88,79.7177,21,3,1,8,2,112,1,1,1,2,69.72,131.140795044653,2.27951012038965,598.429090216476
CCSC(=S)N[C@@H](CC(O)=O)C(O)=O,237.302,0.5419,57.5423,14,4,3,7,5,80,0,0,0,0,86.63,90.872167874867,4.1568574955048,243.844293943139
COc1ccc2CC5C3C=CC(O)C4Oc1c2C34CCN5C,299.37,1.5011,82.4638,22,4,1,4,1,116,1,1,4,5,41.93,129.878938727368,1.82236542384153,685.154996148535
COCCCCC=O,116.16,1.002,31.791,8,2,0,2,5,48,0,0,0,0,26.3,49.8390289293632,2.61629309041798,52.4902249956731
CC(C)=O.C=O.N(c1ccccc1)c2ccccc2,257.333,3.8406,79.6427,19,3,1,3,2,100,2,0,0,2,46.17,113.832834473901,4.66588213561005e-07,413.189853716995
CCC(=O)[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,236.231,-0.5161,61.1325,17,7,0,7,1,90,2,0,0,2,78.89,95.9203633469863,3.01007787483026,719.451842026172
Oc(ccc(N)c1)c1,109.128,0.9744,32.5192,8,2,2,2,0,42,1,0,0,1,46.25,47.5655275687057,3.03245553203368,147.388338914672
CCC\C(=C/C(O)=O)C(O)=O,158.153,0.8821,38.2626,11,2,2,4,4,62,0,0,0,0,74.6,64.1508123865045,4.32356637166637,192.617254570648
O=[Si]=O,60.084,-0.6184,7.127,3,2,0,3,0,16,0,0,0,0,34.14,19.4022247924281,3.2659863237109,23.7744375108173
Cc1ncnc2c(O)cccc12,160.176,1.64382,45.9398,12,3,1,3,0,60,2,0,0,2,46.01,69.7115394797178,2.94337285206139,384.548091189121
CC(=O)OCc1ccccc1,150.177,1.7497,41.912,11,2,0,2,2,58,1,0,0,1,26.3,65.8012967922374,2.45301874353194,228.577865916233
NC1=CC2=C(C=C1)C=CC(=C2)[S](O)(=O)=O,223.253,1.6687,58.175,15,3,2,5,1,78,2,0,0,2,80.39,87.0815943582855,2.75248535237919,619.600147553092
Cc1ccc2oc(\C=C\c3oc4ccc(C)cc4n3)nc2c1,290.322,4.75624,86.42,22,4,0,4,2,108,4,0,0,4,52.06,126.64994630448,1.68269919621733,926.458009839211
CCOC(=O)[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,252.23,-0.5617,62.635,18,8,0,8,1,96,2,0,0,2,88.12,101.033908576493,2.85959950311354,736.641240892052
CC(C)(C)c1ccc(CCC=O)cc1,190.286,3.1156,59.5270000000001,14,1,0,1,3,76,1,0,0,1,17.07,86.147520020317,2.73349710397695,290.006756018928
CN(CCC#N)c1ccc(cc1)C=CC2=[N+](C)c3ccccc3C2(C)C.[O-][S]([O-])(=O)=O,440.545,3.41788,119.77,31,6,0,8,5,164,2,0,1,3,110.3,183.702838514162,6.13743455029586e-07,1120.15671223133
CCCCCC(N)C(O)=O,145.202,0.9786,39.7532,10,2,2,3,5,60,0,0,0,0,63.32,61.2245502634617,3.21487689682445,103.779229166139
CN(C)CCOC(=O)C(C)=C,157.213,0.6673,44.327,11,3,0,3,4,64,0,0,0,0,29.54,67.6391437961756,3.39721803877898,152.171047856934
CC(C)OC(=O)c1cccc(c1C([O-])=O)[N+]([O-])=O,252.202,0.5235,57.9784,18,6,0,7,4,96,1,0,0,1,109.57,102.13991259577,3.35580709079267,508.254943563534
CCC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,284.366,1.4835,70.9499,18,6,2,8,4,96,2,0,0,2,97.97,108.917023128099,2.2365806023872,634.152220329635
[Na+].COc1cc(O)c(cc1[S]([O-])(=O)=O)C(=O)c2ccccc2,330.293,-1.4601,72.4965,22,6,1,8,4,110,2,0,0,2,103.73,149.329718268853,2.41999846027602e-06,786.480403259474
CN1c2ccccc2Sc3ccccc13,213.305,3.9191,65.07,15,2,0,2,0,74,2,0,1,3,3.24,93.730551981997,2.19639342717164,461.894069088892
CCCCCCCCCCCCCCCCCCN(CCO)CCO,357.623,5.53450000000001,110.1576,25,3,2,3,21,152,0,0,0,0,43.7,157.751336604754,3.13276079398211,230.067109168963
[Na+].[Na+].CC(C)(c1ccc(O[S](=O)(=O)c2cccc(NNC3=C4C(=O)C=C(C=C4C=CC3=N)[S](O)(=O)=O)c2)cc1)c5ccc(O[S](=O)(=O)c6cccc(NNC7=C8C(=O)C=C(C=C8C=CC7=N)[S](O)(=O)=O)c6)cc5,1085.097,-0.362159999999988,260.269,73,18,8,26,16,364,4,0,4,8,325.44,463.269638710947,4.34569725986917e-06,3522.49247265741
OC(=O)\C=C/C(=O)OCCOCCOCCOC(=O)\C=C/C(O)=O,346.288,-0.612399999999999,77.1076,24,8,2,10,13,134,0,0,0,0,145.66,136.793029273212,3.39742994376976,435.94683259971
CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,269.373,3.3649,83.462,19,3,0,4,1,96,2,0,1,3,19.37,118.040530198176,2.314459898588,638.792742771212
COC1=CC(OC)=CC(C(=O)N(O)C2=CC(C)=CC=C2)=C1,287.315,3.04822,79.321,21,4,1,5,4,110,2,0,0,2,59,122.844984264082,2.34606196526339,632.225277933952
CCC(C)C(O)C(C)CC,144.258,2.4395,44.9168,10,1,1,1,4,62,0,0,0,0,20.23,64.4530216951984,3.68540653401334,70.7974515459134
S=C1Nc2ccccc2S1,167.258,2.95889,47.0097,10,2,1,3,0,50,2,0,0,2,15.79,67.3318591497951,3.00761954680302,362.89835341124
COC(=O)CCCCCCCCC=C,198.306,3.4662,59.149,14,2,0,2,9,82,0,0,0,0,26.3,87.3390785835586,2.98475035074455,152.400718952076
NCC(=O)NCC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC2=NN=C(S2)[S](N)(=O)=O,449.496,-2.0003,99.2265,28,10,5,16,8,152,2,0,0,2,216.33,163.170342513624,2.03821308618026,1079.16676623524
CCCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCCC)c(c1)C(=O)OCCCCCCCCC,588.87,10.4088,171.2685,42,6,0,6,27,240,1,0,0,1,78.9,256.204868540047,2.67617721662868,849.290364048045
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1O,247.892,3.7114,49.8116,12,2,2,6,0,66,1,0,0,1,40.46,88.2329355314157,3.60356745147455,231.812865246844
NCC(=O)NCC(=O)OCCOC1=CC2=C(C=C1)N=C(S2)[S](N)(=O)=O,388.427,-1.0594,89.5113,25,9,3,12,8,136,2,0,0,2,163.7,146.70328571812,1.82902358311991,879.771608326471
COc1ccc(Cl)cc1,142.585,2.3486,38.004,9,1,0,2,1,48,1,0,0,1,9.23,59.2131566902821,2.88155587764614,180.612568537198
c1ccc2c(C)cccc2c1C,156.228,3.45664,53.422,12,0,0,0,0,60,2,0,0,2,0,72.8429518800254,2.94337285206139,372.057866193448
S=C1NNC(=S)S1,150.253,1.86328,34.6884,7,3,2,5,0,38,1,0,0,1,31.58,54.197076414616,3.59245681139576,215.182740348621
CC(=O)OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,363.2,3.6721,92.7267,24,4,1,7,2,122,2,0,1,3,67.76,147.795683296841,2.22757456818874,864.664201570193
Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl,326.437,6.6206,76.928,17,0,0,5,1,88,2,0,0,2,0,124.004828459969,2.60737658254107,577.348938365776
CC1(C)OC(=O)c2cc3ccccc3cc12,212.248,3.2453,62.3895,16,2,0,2,0,80,2,0,1,3,26.3,93.84207228484,2.3810581534161,596.706872768899
Ic1ccccc1I,329.906,2.8958,51.876,8,0,0,2,0,42,1,0,0,1,0,75.9550793615842,3.13486151134545,162.638338914672
